Ville;Latitude;Longitude
Pontivy;48.06676;-2.96835
Malestroit;47.81016;-2.38316
La Gacilly;47.76227;-2.12891
La Roche Bernard;47.51849;-2.30341
Rennes;48.11561;-1.68098
Hennebont;47.80555;-3.27597
Chateauneuf du Faou;48.1859362;-3.8126127
Guerledan;48.20115;-2.98576
Redon;47.6515161;-2.0841784
Guipry-Messac;47.82068;-1.82226
Saint Nicolas des Eaux;47.97887;-3.04086
Chateaulin;48.18154;-4.23097
Spezet;48.1926507;-3.7143938
Carhaix-Plouguer;48.2746424;-3.5768508
Rostrenen;48.2360927;-3.3185917
Josselin;47.95488;-2.54766
Dinan;48.45069;-2.04432
Colombiers;43.307141201390905; 3.1279873375126295
Frontignan;43.43490176190074; 3.774564157383516
Agde;43.28302963009863; 3.512895278679758
Agde;43.28750992117532; 3.508045751624624
Saint-Pons-de-Thomières;43.48878461741406; 2.757827292650072
La Grande-Motte;43.55917714056211; 4.084385889600926
Agde;43.31502874888788; 3.4709378169864697
Capestang;43.331599975944215; 3.042927521565054
Montpellier;43.609427582682976; 3.881363532236139
Portiragnes;43.27789063169383; 3.3576588660486366
Vias;43.30006850927975; 3.417248982649181
Sète;43.39975258327312; 3.696019510898718
Marseillan;43.318637129632464; 3.5469754390468715
Saint-Chinian;43.41970017124854; 2.9462407657129583
Pézenas;43.46194369882711; 3.4234271955612114
Mons;43.56662098411081; 2.959695592207682
Montereau Fault Yonne;48.3868367;2.9578187
Rambouillet;48.6451533;1.8195006
Saint-Martin-du-Tertre;49.109527;2.3438659
Saint-Quentin-Yvelines cedex;48.7826053;2.0436091
Arpajon;48.5874418;2.2512759
Brétigny-Sur-Orge;48.6090501;2.3035712999999998
Bagneux;48.800808;2.3182254
Bourg La Reine;48.7792054;2.3159346
Torcy;48.8452897;2.6535329
Saint-Ouen;48.90374629999999;2.338418
Pontault-Combault;48.8014205;2.6077133
Souppes-Sur-Loing;48.1859761;2.7320273999999998
La Garenne-Colombes;48.9094422;2.2476675
Chelles;48.87602589999999;2.5840973
Noisy-le-Grand;48.85080929999999;2.5413586
Nogent-sur-Marne;48.834369;2.4727934
Luzarches;49.112119;2.4223813
Rozay en Brie;48.6834667;2.9547213
Clamart;48.80247550000001;2.2637817
Châtillon;48.8034524;2.2886406
Bry-Sur-Marne;48.83602699999999;2.5206333
Pontoise;49.0467015;2.1000294999999998
Le Mesnil-Saint-Denis;48.741617;1.9636512
Neauphle-Le-Château;48.81373910000001;1.9000132
Champigny-sur-Marne;48.8126405;2.5095643
Massy;48.7296631;2.2756147
Orsay;48.6996029;2.1854723
Marines;49.1475443;1.9770238999999998
Beton Bazoches;48.70107480000001;3.2458152
Ecouen;49.0184495;2.3791520999999998
Saint-Arnoult-en-Yvelines;48.57224;1.938127
Asnières-sur-Oise;49.1322968;2.3553672
Nanterre;48.8900093;2.1950137
Ozoir La Ferriere;48.7619136;2.6733854
Thomery;48.4059786;2.7795718
Fontenay-Sous-Bois;48.8536084;2.4807158
Roissy-en-France;49.0022939;2.5189971
La Ferté sous Jouarre;48.9497417;3.1295787
Melun;48.5397133;2.6603244999999998
Nemours;48.26620810000001;2.6965446
Saint Fargeau - Ponthierry;48.5300309;2.5438625999999998
Paris;48.86603390000001;2.3336585
Bourron-Marlotte;48.3428744;2.7170909
Provins;48.5604069;3.2806952
Jouy-en-Josas;48.7651747;2.1630205
Montreuil;48.8577323;2.4370098000000002
Mantes-la-Jolie;48.9891107;1.7182754
Sceaux;48.77730390000001;2.2954663
Donnemarie-Dontilly;48.4777986;3.1283325
Brunoy;48.698139;2.5053482000000002
Conflans-Sainte-Honorine;48.99140999999999;2.0910244
Chateau-Landon;48.149975;2.703537
L'isle Adam;49.112288;2.217872
Clichy La Garenne;48.9027233;2.306201
Rebais;48.8467427;3.232122
Issy Les Moulineaux;48.8243508;2.2736075
Saint-Germain-en-Laye;48.8969118;2.0926151
Ablis;48.5172613;1.8328757
Vincennes;48.8450216;2.4345901
Meriel;49.106175;2.20713
Palaiseau;48.71218810000001;2.2429027
Moret sur Loing;48.373576;2.815113
Mereville;48.3190177;2.0889404
Dampierre-en-Yvelines;48.70513829999999;1.9858238
Montgeron;48.7062451;2.4566244
Choisy-Le-Roi;48.7661635;2.4074706
Enghien-les-Bains;48.96915749999999;2.3052826
Verrieres-le-Buisson;48.74633;2.266858
Savigny-sur-Orge;48.6791332;2.3459135
Parmain;49.114473;2.208459
Bobigny;48.9053388;2.4393145
Poissy;48.927384;2.0457453
Lizy-Sur-Ourcq;49.0246422;3.0226039
La Ville-Du-Bois;48.6610142;2.2679144
La Ferte-Gaucher;48.7796738;3.3040711
Lorrez-Le-Bocage;48.237908;2.901245
Viarmes;49.1275152;2.3702652
Antony;48.7550679;2.3008883
Aulnay-sous-Bois;48.9287763;2.491982
Paris;48.886677399999996;2.3406192
Meaux;48.9616615;2.8778049
Gennevilliers;48.9335905;2.2974007
Saint-Ouen;48.9097928;2.3328988
Rueil-Malmaison;48.8812706;2.1842344
Suresnes;48.8686696;2.223747
Montigny-Sur-Loing;48.3349556;2.746875600000001
Vanves;48.82171270000001;2.2859454
Montfort-l'Amaury;48.7772296;1.8069296
Marly-le-Roi;48.8655128;2.097376
Marcoussis;48.6426265;2.2315358
Vauhallan;48.734179;2.207581
Asnières sur Seine;48.9108055;2.2929754
Houdan;48.7894645;1.5993039
Versailles;48.80190349999999;2.1287005
Crécy la Chapelle;48.85676;2.909611
Fontainebleau;48.4027475;2.6954604
Achères;48.9555929;2.0691228
Corbeil-Essonnes;48.6123018;2.4817046
Milly-La-Foret;48.4032966;2.4693941
Chatenay-Malabry;48.7672873;2.277661
Cormeilles-En-Parisis;48.9735812;2.198656
Jouarre;48.926312;3.130619
Le Vesinet;48.89412309999999;2.1353586
Etampes;48.43447099999999;2.1620369999999998
Auvers-sur-Oise;49.0712474;2.1717763
Egreville;48.1768324;2.8719128
Joinville-Le-Pont;48.8180935;2.4663684999999997
Brie-Comte Robert;48.692221;2.611073
Coulommiers;48.8124076;3.0842434
Montlhéry;48.638979;2.2725239999999998
Boulogne Billancourt;48.8352055;2.2405566
Barbizon;48.44474690000001;2.603201
Maisons-Laffitte;48.9459941;2.1453531
Livry-Gargan;48.9196319;2.5371585999999997
Montmorency;48.98774909999999;2.3194511
Lagny sur Marne;48.8802622;2.7047764
Dourdan;48.529310100000004;2.0120123
Chevreuse;48.7074811;2.0438104
"Saint-Denis 
Plaine Commune";48.9351064;2.3567489999999998
Saint-Remy-Les-Chevreuse;48.7032335;2.0704554
Bray-sur-Seine;48.41536809999999;3.2365374
Bougival;48.8671867;2.1383747
Le Perray-En-Yvelines;48.6939547;1.8547357
